Category: All categories

Day,5-minute: (Worldwide)
2017-11-14,36
2017-11-15,39
2017-11-16,0
2017-11-17,45
2017-11-18,42
2017-11-19,43
2017-11-20,0
2017-11-21,39
2017-11-22,0
2017-11-23,41
2017-11-24,60
2017-11-25,56
2017-11-26,62
2017-11-27,0
2017-11-28,44
2017-11-29,59
2017-11-30,60
2017-12-01,42
2017-12-02,0
2017-12-03,50
2017-12-04,60
2017-12-05,36
2017-12-06,0
2017-12-07,43
2017-12-08,38
2017-12-09,88
2017-12-10,51
2017-12-11,50
2017-12-12,47
2017-12-13,68
2017-12-14,60
2017-12-15,41
2017-12-16,44
2017-12-17,58
2017-12-18,57
2017-12-19,42
2017-12-20,0
2017-12-21,55
2017-12-22,74
2017-12-23,52
2017-12-24,82
2017-12-25,62
2017-12-26,59
2017-12-27,0
2017-12-28,61
2017-12-29,59
2017-12-30,0
2017-12-31,66
2018-01-01,41
2018-01-02,46
2018-01-03,48
2018-01-04,76
2018-01-05,43
2018-01-06,52
2018-01-07,43
2018-01-08,54
2018-01-09,34
2018-01-10,44
2018-01-11,0
2018-01-12,63
2018-01-13,63
2018-01-14,92
2018-01-15,0
2018-01-16,0
2018-01-17,56
2018-01-18,56
2018-01-19,0
2018-01-20,40
2018-01-21,67
2018-01-22,57
2018-01-23,0
2018-01-24,39
2018-01-25,47
2018-01-26,60
2018-01-27,45
2018-01-28,0
2018-01-29,41
2018-01-30,43
2018-01-31,0
2018-02-01,66
2018-02-02,40
2018-02-03,52
2018-02-04,49
2018-02-05,44
2018-02-06,41
2018-02-07,62
2018-02-08,49
2018-02-09,38
2018-02-10,93
2018-02-11,96
2018-02-12,33
2018-02-13,42
2018-02-14,42
2018-02-15,42
2018-02-16,39
2018-02-17,75
2018-02-18,74
2018-02-19,56
2018-02-20,44
2018-02-21,39
2018-02-22,0
2018-02-23,38
2018-02-24,58
2018-02-25,58
2018-02-26,59
2018-02-27,54
2018-02-28,52
2018-03-01,0
2018-03-02,71
2018-03-03,52
2018-03-04,45
2018-03-05,38
2018-03-06,0
2018-03-07,40
2018-03-08,54
2018-03-09,63
2018-03-10,90
2018-03-11,51
2018-03-12,34
2018-03-13,43
2018-03-14,64
2018-03-15,57
2018-03-16,0
2018-03-17,86
2018-03-18,52
2018-03-19,47
2018-03-20,0
2018-03-21,82
2018-03-22,43
2018-03-23,53
2018-03-24,55
2018-03-25,72
2018-03-26,50
2018-03-27,42
2018-03-28,58
2018-03-29,54
2018-03-30,65
2018-03-31,87
2018-04-01,64
2018-04-02,66
2018-04-03,0
2018-04-04,67
2018-04-05,51
2018-04-06,64
2018-04-07,40
2018-04-08,83
2018-04-09,49
2018-04-10,0
2018-04-11,46
2018-04-12,47
2018-04-13,86
2018-04-14,47
2018-04-15,76
2018-04-16,71
2018-04-17,40
2018-04-18,53
2018-04-19,42
2018-04-20,74
2018-04-21,55
2018-04-22,61
2018-04-23,48
2018-04-24,51
2018-04-25,49
2018-04-26,51
2018-04-27,52
2018-04-28,59
2018-04-29,64
2018-04-30,41
2018-05-01,0
2018-05-02,62
2018-05-03,48
2018-05-04,50
2018-05-05,65
2018-05-06,55
2018-05-07,55
2018-05-08,0
2018-05-09,48
2018-05-10,53
2018-05-11,47
2018-05-12,45
2018-05-13,83
2018-05-14,38
2018-05-15,76
2018-05-16,52
2018-05-17,35
2018-05-18,58
2018-05-19,63
2018-05-20,40
2018-05-21,43
2018-05-22,55
2018-05-23,53
2018-05-24,58
2018-05-25,70
2018-05-26,98
2018-05-27,76
2018-05-28,78
2018-05-29,56
2018-05-30,55
2018-05-31,0
2018-06-01,53
2018-06-02,95
2018-06-03,100
2018-06-04,45
2018-06-05,82
2018-06-06,46
2018-06-07,50
2018-06-08,64
2018-06-09,86
2018-06-10,78
2018-06-11,45
2018-06-12,56
2018-06-13,37
2018-06-14,83
